v,mu,sd,comat,,,,,,,,,,
8.596928931219793,42.78397901311159,207.95479876658942,43245.198330052706,17491.902024629864,10939.751484041299,35018.15267212531,13184.086531225006,32878.0444435442,26724.414583168404,18252.297593421972,37436.722970891504,29541.769938651734,32191.242854019405
8.036105878109947,80.65735320515444,85.96557370966839,17491.902024629864,7390.07986323243,4448.062991123604,14688.624221113352,5468.187934494186,13431.888623414596,10903.327318852595,7484.236696018011,15373.774283555056,11988.340925860826,13035.848099685027
8.449308072893817,48.41658816330349,53.45872135753453,10939.751484041297,4448.062991123603,2857.8348891825176,9034.351316596563,3467.66976270611,8668.863669548977,7100.9827137441525,4769.560773153444,9802.558461561975,7669.321574408836,8411.004870477054
7.117164894502675,58.516964713622876,173.8267566375353,35018.15267212531,14688.624221113349,9034.351316596563,30215.741323124923,11149.511253467834,27624.6088305029,22319.04625081638,15360.065068720807,31549.301764578442,25220.128008652875,27071.99146326371
7.253830552951318,39.78529788535451,66.1434899992075,13184.086531225004,5468.187934494184,3467.66976270611,11149.511253467834,4374.961269275263,10674.052352433455,8758.722496685936,5908.152295227238,12302.562953037992,9557.189689108465,10312.704358442092
6.962359849948458,33.43891289259301,164.8271957704853,32878.0444435442,13431.888623414596,8668.863669548979,27624.6088305029,10674.052352433459,27168.004465561888,21909.508358588064,14459.757734843908,30553.806597671784,23809.808688021727,25959.932794738233
7.559535740656448,38.20943835719273,135.31183726607222,26724.414583168407,10903.327318852595,7100.982713744153,22319.04625081638,8758.722496685936,21909.508358588064,18309.293304320006,12116.520597082426,24773.0299782402,19286.305734371108,21313.065695171947
5.563759794973942,52.123992642286694,91.96368911869288,18252.297593421972,7484.236696018011,4769.560773153444,15360.065068720805,5908.152295227238,14459.757734843903,12116.520597082426,8457.32011631959,16584.947130804696,13370.867034423325,14355.695906500094
9.871485064304746,47.342168197262104,189.10972619273733,37436.722970891504,15373.774283555054,9802.558461561975,31549.301764578446,12302.562953037992,30553.806597671784,24773.029978240196,16584.9471308047,35762.48854069209,27486.146566681608,29482.704767083338
7.474063851679451,74.8830335688104,150.3090925094746,29541.76993865173,11988.340925860824,7669.321574408837,25220.128008652875,9557.189689108463,23809.808688021723,19286.305734371104,13370.867034423325,27486.146566681604,22592.82329102179,23924.091284232447
9.768073926876312,47.03231340819599,161.85479333737158,32191.242854019394,13035.848099685025,8411.004870477056,27071.99146326371,10312.704358442094,25959.932794738237,21313.06569517195,14355.695906500094,29482.704767083334,23924.09128423245,26196.974126283258
