v,mu,sd,comat,,,,,,,,,,
7.609578582501274,83.94624520444148,331.72913063676987,110044.21611302714,13697.074179251935,62598.49835003693,24317.133267021018,72188.41593680857,49992.23322197424,34214.9813782559,31105.204498650746,40095.58251762123,33739.87098798954,14372.11657375358
8.49703183507332,13.850191444632319,43.32139726996935,13697.074179251937,1876.7434614225074,8255.776501692551,3065.225546815838,9182.858478101783,6701.765334298518,4457.4005191349215,4071.2026002902685,5106.752397121241,4242.232425928783,1852.7633993619522
6.349344855364752,51.548497004276086,196.383643540459,62598.49835003693,8255.77650169255,38566.53545022605,14097.79701734611,42653.85887525823,30051.40698934266,20602.836602996293,18106.462451126652,23358.819480859598,19308.080450583886,8387.95946321607
8.372409373444961,26.38427518834689,74.19109006754587,24317.13326702102,3065.225546815838,14097.79701734611,5504.317845410704,16117.348956235926,11374.36359886477,7672.315877567289,7019.575542715054,8921.615751368745,7439.925283638441,3232.8513621528436
9.540360416566575,45.50649446798406,223.09190073318564,72188.41593680857,9182.858478101782,42653.85887525823,16117.348956235923,49769.99617274555,33316.48669870969,23506.554582088676,20306.704728158067,27050.455879219902,22746.965944463394,9599.675130966298
8.425751020797037,38.20291759127074,156.7736065937319,49992.23322197423,6701.765334298518,30051.406989342657,11374.36359886477,33316.48669870969,24577.96372440622,16153.836571419806,14992.33938979124,18604.30841757909,15363.577816118895,6770.885294903055
6.0582667199653875,27.96833764866377,106.7257549408057,34214.9813782559,4457.4005191349215,20602.836602996293,7672.315877567287,23506.55458208868,16153.836571419808,11390.386767684913,9726.435665520625,12745.031904249905,10721.373384227873,4610.628729366505
6.586330370630902,20.254840250130915,97.26090844405581,31105.204498650746,4071.2026002902694,18106.462451126652,7019.575542715053,20306.704728158067,14992.339389791241,9726.435665520627,9459.684311363008,11664.951857977634,9523.084577943979,4133.937204260133
6.336497024814774,73.90915763928054,123.45490639582025,40095.58251762123,5106.752397121241,23358.819480859598,8921.615751368745,27050.455879219902,18604.30841757909,12745.031904249907,11664.951857977634,15241.113913200743,12568.3197352998,5285.0528792913665
5.602531593467529,60.36681198312908,103.07831894592331,33739.87098798954,4242.232425928783,19308.08045058389,7439.92528363844,22746.965944463394,15363.577816118895,10721.373384227873,9523.084577943979,12568.319735299798,10625.13983671749,4433.518071920525
9.984284481507899,29.981318537409305,44.18643975719729,14372.11657375358,1852.7633993619522,8387.95946321607,3232.851362152843,9599.6751309663,6770.885294903055,4610.628729366505,4133.937204260133,5285.052879291366,4433.518071920525,1952.4414584164251
