v,mu,sd,comat,,,,,,,,,,
9.11555170354896,43.80761161835185,165.14958013475615,27274.38381868625,21269.621401632343,20724.97520143528,14770.963461619134,9812.237812962538,27969.930014524776,12570.471676444937,24501.82866954157,5267.27223111033,12502.764732988266,60105.46631811043
5.130589907849337,72.24592258912338,132.33378147949108,21269.621401632343,17512.229720661697,16219.021326003507,11445.946192327188,7734.858668812721,22246.08848489981,10045.740440179774,19845.662373050225,4170.415296057977,9873.134519346879,46345.76057665237
6.053853199656469,30.057386381623566,128.53590789304715,20724.975201435278,16219.021326003505,16521.479617889898,11508.950813314621,7563.016239121843,21772.60241460744,9882.569695691762,19068.125970249934,4062.138959644273,9556.021347778524,45839.02203183186
8.09210884674805,22.624592932585447,90.61312338861737,14770.963461619132,11445.946192327187,11508.950813314621,8210.738130240796,5403.853775589727,15422.57487063503,6905.35675780274,13503.094846186481,2870.178014524833,6823.266257884751,32586.883809235056
5.4914223266844955,14.88209267499342,61.31437566241516,9812.237812962538,7734.858668812721,7563.016239121844,5403.853775589727,3759.452662871768,10300.305661403318,4689.033017411696,9200.758129580629,1925.064516171318,4579.269135540674,21557.343120397003
8.100656549384293,38.48060156486575,173.0941177990464,27969.930014524773,22246.08848489981,21772.602414607438,15422.57487063503,10300.305661403318,29961.573616630147,13163.96908718756,25757.01381702742,5408.075988015844,13088.313506789453,60657.25815470203
5.269451097992219,60.72138965781366,78.72373702356072,12570.471676444939,10045.740440179774,9882.569695691762,6905.3567578027405,4689.033017411696,13163.969087187561,6197.426770954744,11789.44270215286,2486.3280370078846,5825.405736644443,27551.237944257737
9.803270289021192,50.76994763092365,156.3073170088615,24501.828669541566,19845.662373050225,19068.125970249937,13503.094846186481,9200.758129580629,25757.013817027422,11789.44270215286,24431.97735050872,4789.868111463438,11482.582910420559,54127.36751900697
9.902146871075367,25.85434898336311,32.39755495920787,5267.27223111033,4170.415296057977,4062.1389596442737,2870.1780145248326,1925.0645161713178,5408.075988015844,2486.328037007884,4789.868111463438,1049.6015673348948,2397.3564003847373,11624.607409896766
7.605638251356119,47.02161356816985,76.40342457735076,12502.764732988266,9873.13451934688,9556.021347778526,6823.266257884752,4579.269135540674,13088.313506789455,5825.405736644444,11482.582910420559,2397.356400384738,5837.483287146925,27354.104085175783
8.182766724177739,73.83222117940666,367.6702849133681,60105.46631811044,46345.76057665237,45839.02203183187,32586.883809235056,21557.343120397007,60657.258154702045,27551.237944257733,54127.367519006984,11624.607409896766,27354.104085175786,135181.4384082773
