v,mu,sd,comat,,,,,,,,,
7.729257149674893,13.08550806980607,43.84032584819033,1921.9741704755054,3729.353687131249,2928.0506701222935,4825.965654381056,13050.539516102122,3741.0616097119937,14262.814906642869,15973.404713421236,2825.311161558083,5547.098577627827
9.294283052956795,74.06531105135676,88.27425042136358,3729.353687131249,7792.3432874536065,5946.025222793214,9655.03411462049,26688.817608159945,7342.964422937183,28649.79642376838,32390.41993410193,5843.031473208446,10839.036028563232
8.429462932832896,48.487187881417036,70.61724581619701,2928.0506701222935,5946.025222793213,4986.795406665195,7469.233955502993,21071.583189198864,5773.192111812694,22483.306520266713,25662.099505372535,4549.688711129259,8617.36697063226
6.657959105067171,68.34611431475244,112.01602628593882,4825.965654381055,9655.03411462049,7469.233955502991,12547.590144892136,34256.63098200176,9515.06731198747,36755.07554312912,40122.312342501464,7216.2104771593395,14113.169457726372
5.2999896478030895,77.58047596027133,314.1969952948175,13050.539516102122,26688.81760815994,21071.58318919886,34256.630982001756,98719.75185229156,25619.812545464287,100061.71594633647,112526.22823214461,19928.025777764415,39034.29756925741
6.931388905213545,81.93669429420781,86.11069551060048,3741.0616097119937,7342.964422937183,5773.192111812694,9515.067311987472,25619.81254546429,7415.05188131935,27977.769636907437,30884.03531594722,5589.301292043203,10867.435755708626
6.065749293421778,74.54884437868468,334.39030296271784,14262.81490664287,28649.79642376838,22483.306520266713,36755.075543129125,100061.7159463365,27977.76963690744,111816.87471549824,118402.08134251514,21502.2588773803,41955.61307842861
9.662533250406801,84.45072578863402,378.45867769305096,15973.404713421236,32390.419934101934,25662.09950537254,40122.31234250147,112526.22823214461,30884.035315947225,118402.08134251514,143230.97072117263,24882.875518676432,46259.619787190735
8.614091494279311,32.30026341078392,67.14249642865676,2825.311161558083,5843.031473208446,4549.68871112926,7216.21047715934,19928.025777764415,5589.301292043204,21502.2588773803,24882.875518676432,4508.114826672187,8250.757412487323
5.234476533341898,65.43559235875627,129.03537666507603,5547.098577627826,10839.036028563234,8617.366970632258,14113.16945772637,39034.29756925742,10867.435755708624,41955.6130784286,46259.61978719074,8250.757412487323,16650.12843109805
