v,mu,sd,comat,,,,,,,,,
9.318799927850414,49.36189939040695,186.92158409066485,34939.678598963495,22000.730507020962,15518.28008454113,39018.05370050834,30175.100839995186,22686.139977531366,26878.659343260675,8551.882840915205,31732.66478636469,52638.56711576006
6.424529826138134,40.12129379881523,118.83214243919532,22000.730507020962,14121.078076689202,10034.278815398824,24875.385294855463,18987.468513392236,14484.466202974292,17201.892941881964,5459.393193172071,20217.59713839901,33842.2321468989
5.366281940418681,66.95463530286335,85.2002089152425,15518.28008454113,10034.278815398822,7259.075599200966,17745.527066740662,13554.5686634474,10258.605090023686,12088.593262906777,3907.0231781141756,14306.914014951251,24295.175956397376
8.816186021651426,55.798867428219936,219.6284086561517,39018.053700508346,24875.385294855467,17745.527066740666,48236.63788883356,34415.551144616526,25625.728841064774,31419.998400763943,10132.658999630776,37170.80269629376,60483.16465839018
7.263595287997057,45.55759284979655,164.19040075423896,30175.10083999519,18987.468513392236,13554.5686634474,34415.551144616526,26958.4876998376,19788.624004790807,23469.661204389144,7663.904769003227,27713.92904363833,46054.29745878386
7.711484370043872,59.74817528868214,123.84354884411522,22686.13997753137,14484.466202974292,10258.605090023686,25625.72884106477,19788.624004790803,15337.224590304753,17792.84622052283,5725.844380407273,21167.216556763637,34529.77501538305
8.633178914137536,89.64198197042435,148.03425278696506,26878.659343260675,17201.892941881964,12088.593262906776,31419.99840076394,23469.661204389147,17792.84622052283,21914.13999819507,6868.758016907441,25218.26241078752,40721.31544394668
9.244525538074111,41.421265516998,47.98360769273145,8551.882840915205,5459.393193172071,3907.0231781141765,10132.658999630776,7663.904769003226,5725.844380407273,6868.758016907442,2302.426607209957,8151.386558502203,13111.340039065408
8.84099988904491,49.19171948964567,173.7443613002831,31732.664786364698,20217.59713839901,14306.914014951251,37170.80269629376,27713.92904363833,21167.216556763637,25218.262410787516,8151.386558502202,30187.10308364331,48623.68932464566
8.665718616600087,85.76881910133147,288.52277930715684,52638.56711576006,33842.23214689891,24295.175956397376,60483.16465839019,46054.29745878386,34529.77501538306,40721.31544394669,13111.340039065408,48623.68932464565,83245.39417912634
