v,mu,sd,comat,,,,,,,,,,
6.254618118724701,45.64808806739721,87.93123190304595,7731.901543987246,33659.295760163994,12346.684038342537,8679.300527903451,8391.217049790095,25654.728941804497,2538.8923680214584,24422.31187732313,20709.908658458633,22707.570946025284,5694.414928914171
5.230479103363058,96.93629421312554,383.9825114716733,33659.295760163994,147442.5691160938,53703.03671045902,37810.8852980575,36582.35336553745,112059.57261063259,11107.562630217213,106683.22136767089,90321.1820986205,99078.28843553021,24826.37994378458
8.384081205552793,47.15769136226531,141.066415415832,12346.684038342537,53703.03671045901,19899.733558272088,13927.249070301054,13434.36488697731,41117.91204007875,4071.776919889801,39231.8959160642,33140.88333965902,36269.31384681596,9099.22779100803
5.217347428223761,25.509512768938336,99.18035250174178,8679.300527903451,37810.8852980575,13927.249070301052,9836.742322369759,9448.80803022306,28799.460629808713,2862.4958582979225,27453.34848669495,23277.557972417646,25613.13355762048,6396.953397646008
5.582118515832656,84.91401196438066,95.5397107637859,8391.217049790095,36582.35336553744,13434.36488697731,9448.80803022306,9127.836332827868,27943.00973925297,2763.6039986728324,26577.65622115224,22511.175185523516,24722.727922062473,6179.9344760058675
8.019328444744065,64.42099595649175,294.0405098667936,25654.728941804497,112059.57261063257,41117.91204007875,28799.46062980871,27943.00973925297,86459.82144272394,8461.363194365447,81591.34273242598,69221.86521165277,75578.662787592,18951.694160570623
5.954653313898696,22.50051190110541,29.022745904798057,2538.8923680214584,11107.562630217211,4071.7769198898,2862.4958582979216,2763.603998672833,8461.363194365447,842.3197798544725,8071.4498403214575,6821.896952589542,7479.679727396073,1872.0978900806176
8.342578586301729,89.59614000345819,278.9355596419508,24422.311877323125,106683.22136767089,39231.89591606419,27453.34848669494,26577.656221152236,81591.34273242598,8071.4498403214575,77805.04643276829,65624.88197178305,71897.81759628194,17998.911137169714
9.587239244354484,62.90438143260323,236.67175694929327,20709.908658458637,90321.18209862051,33140.88333965901,23277.557972417646,22511.175185523516,69221.86521165277,6821.896952589544,65624.88197178306,56013.52053746535,60910.873803439084,15314.245110257123
7.093900434746514,74.08123054561571,259.4223238420832,22707.57094602528,99078.2884355302,36269.31384681596,25613.13355762048,24722.727922062477,75578.662787592,7479.679727396075,71897.81759628194,60910.87380343909,67299.9421076267,16694.755803818272
6.661299250238714,16.441805799496535,64.97100676821765,5694.414928914171,24826.379943784577,9099.227791008028,6396.953397646006,6179.934476005867,18951.694160570623,1872.0978900806176,17998.911137169718,15314.245110257123,16694.755803818272,4221.231720475784
